ตัวย่อหุ้น,หัวข้อข่าว,วันที่เขียนข่าว,เนื้อหาข่าว,วิเคราะห์,เหตุผล
AY,BAY ซื้อหุ้น 50% ใน SBF ทำธุรกิจสินเชื่อรายย่อยในฟิลิปปินส์,05/03/2025,BAY แจ้งตลาดหลักทรัพย์ฯ ว่าซื้อหุ้น SBF (SB Finance Cmpany Inc.) ซึ่งประกอบธุรกิจสินเชื่อรายย่อยในฟิลิปปินส์ 50% จาก Security Bank Crpratin ได้รับอนุญาตจาก ธปท. และหน่วยงานกำกับดูแลในฟิลิปปินส์เรียบร้อย ทำให้ SBF เป็นบริษัทย่อยของ BAY,บวก,การเข้าลงทุน SBF เปิดโอกาสขยายฐานรายได้ในต่างประเทศโดยตรง ช่วยกระจายความเสี่ยงค่าธรรมเนียมและต้นทุนต่อสินเชื่อในประเทศ จึงเป็นปัจจัยบวกต่อการเติบโตระยะยาวของ BAY (news.trueid.net)
BBGI,"BBGI กำไรปี 67 พุ่ง 2,080% เพิ่มประสิทธิภาพรับดีมานด์เต็มพิกัด ถือหุ้น BBGIBI เพิ่มพร้อมลุยต่อปี 68",20/02/2025,"BBGI รายงานรายได้ปี 2567 อยู่ที่ 22,192 ล้านบาท (+61% YY) กำไรสุทธิ 215 ล้านบาท เพิ่มขึ้น 2,080% จากปีก่อนที่มีกำไร 9.87 ล้านบาท โดยยอดขาย B100 อยู่ที่ 451 ล้านลิตร (+63%) และเอทานอล 200 ล้านลิตร (+38%) สาเหตุหลักจากการปรับปรุงประสิทธิภาพการผลิต การบริหารต้นทุน และใช้กำลังการผลิตเต็มที่ นอกจากนี้ ธุรกิจบริษัทย่อย BBGIBI (ไบโอดีเซล) เพิ่มสัดส่วนการถือหุ้นจาก 70% เป็น 100% แล้ว และ BBGI ได้รับคัดเลือกเข้าดัชนี SETESG และ sSET เตรียมโครงการ SAF (Sustainable Aviatin Fuel) ผลิตเชิงพาณิชย์ใน Q2/2568 กำลังผลิต 1 ล้านลิตร/วัน",บวก,กำไรปี 2567 ขยายตัวมหาศาลจากประสิทธิภาพการผลิตและการควบรวม BBGIBI เต็มรูปแบบ รวมถึงแนวทางขยายธุรกิจ SAF สะท้อนศักยภาพเติบโตในกลุ่มพลังงานชีวภาพและ ESG ส่งผลบวกต่อการประเมินมูลค่า (สำนักข่าวอินโฟเควสท์)
BBGI,วิเคราะห์หุ้นรายตัว : บล.เคจีไอฯ BBGI ประเทศไทยปรับลดไบโอดีเซลภาคบังคับเป็นดีเซล B5,17/02/2025,"บล.เคจีไอฯ คาดกำไรสุทธิ 4Q67F ของ BBGI อยู่ที่ 24 ล้านบาท (69% YY แต่ฟื้น QQ) จากอัตรากำไรขั้นต้นเอทานอลลดลงเหลือ 3.0% ใน 4Q67F (จาก 3.9% ใน 4Q66) เนื่องจากราคาเอทานอลในประเทศลด 8% YY เป็น 28.0 บาท/ลิตร ขณะที่กำไรขั้นต้นไบโอดีเซลเพิ่ม QQ เป็น 5.5% ใน 4Q67F (จาก 4.3%) เพราะราคาไบโอดีเซลพุ่ง 22% QQ เป็น 43.5 บาท/ลิตร จากปัจจัยสต็อก CP ต่ำและอุปสงค์ CP ภูมิภาคแข็งแกร่ง หลังอินโดนีเซียนำ B40 ใช้; แต่ปริมาณขายไบโอดีเซลลด 8% QQ เหลือ 103 ล้านลิตร หลัง กกพ.ลด B7 เหลือ B5 (21/11/2567) ปรับประมาณการกำไรปี 2567F ⇩40% →171 ล้านบาท, 2568F ⇩32% →463 ล้านบาท ปรับราคาเป้าหมายปี 2568F ⇩เหลือ 5.80 บาท แนะนำ “ซื้อ” เพราะคาดกำไรปี 2568F เติบโต 171% YY จากยอดขายเอทานอลเพิ่มขึ้นและอัตรากำไรขั้นต้นเอทานอลฟื้นเป็น 2.0%",กลาง,มีปัจจัยบวกจากแนวโน้มไบโอดีเซลที่ดีขึ้น QQ และโครงการ SAF ใน Q2/2568 แต่ประเด็นลด B7 → B5 ช่วงปลายปี 2567 ทำให้ปริมาณยอดขายลด ผลให้ต้องปรับประมาณการและราคาเป้าหมายลง แม้แนะนำ “ซื้อ” แต่มีความเสี่ยงระยะสั้นจาก margin เอทานอล จึงให้ผลกระทบ “กลาง” (bangkkbiznews)
BBGI,BBGI เผย Q4/66 มีทิศทางเติบโตที่ดี เดินหน้าตั้งโรงงาน CDM เชิงพาณิชย์แห่งแรกของไทยและภูมิภาคเอเชียตะวันออกเฉียงใต้,08/11/2023,"BBGI เปิดเผยผลประกอบการ Q3/66 มีกำไรสุทธิ 2 ล้านบาท พลิกฟื้นจากขาดทุน 71 ล้านบาท ในครึ่งปีแรก รายได้ Q3/66 อยู่ที่ 3,526 ล้านบาท (+16% QQ) จากธุรกิจเอทานอลและไบโอดีเซลยอดขายเพิ่มขึ้น ทั้งนี้ BBGI เตรียมเดินหน้าตั้งโรงงาน CDM (Cntract Develpment & Manufacturing rganizatin) เชิงพาณิชย์แห่งแรกของไทย/เอเชียตะวันออกเฉียงใต้ ผลิตเอนไซม์และผลิตภัณฑ์ชีวภาพมูลค่าสูง ด้วยกำลังการผลิตหมักรวม 200,000 ลิตร",บวก,ผลประกอบการ Q3/66 เติบโตอย่างต่อเนื่องและแผนตั้งโรงงาน CDM แสดงกลยุทธ์ขยายสู่ธุรกิจผลิตภัณฑ์ชีวภาพมูลค่าสูง เพิ่มโอกาสขยายฐานรายได้และสร้างความแตกต่างทางธุรกิจ จึงเป็นปัจจัยบวกต่อมูลค่าหุ้น BBGI (thebetter.c.th)
BBGI,ผู้ถือหุ้นมีหวัง BBGI เผยรับผลดีดีลบางจากซื้อเอสโซ่ ชี้ช่วยดันโอกาสขายผลิตภัณฑ์ได้มากขึ้น,25/01/2023,"BBGI เปิดเผยว่าการที่ บางจากฯ เข้าซื้อกิจการเอสโซ่ (ประเทศไทย) จะสร้าง Synergy ให้กลุ่มบริษัทบางจากทั้งหมด โดย BBGI จะได้รับอานิสงส์ขายเอทานอลและ B100 ผ่านสถานีบริการน้ำมันของเอสโซ่ (เดิมขายเฉพาะในเครือ บางจากฯ) มากขึ้น จากก่อนมีเพียง 1,500 สาขา เป็น 2,100 สาขา โรงกลั่น 294,000 บาร์เรล/วัน และคลังน้ำมัน 15 ล้านบาร์เรล ช่วยส่งเสริมโอกาสขายและขยายธุรกิจ BBGI ให้แข็งแกร่งขึ้น",บวก,การเข้าซื้อกิจการเอสโซ่ ทำให้ BBGI มีช่องทางจำหน่ายเชื้อเพลิงชีวภาพมากขึ้น ลดต้นทุนการเข้าถึงตลาดและสร้างรายได้เพิ่มอย่างมีนัยยะ จึงเป็นบวกล้ำค่าต่อพื้นฐานและการเติบโต (thairath.c.th)
BBGI,BBGI เผย Q4/66 มีกำไรโต 2 ล้านบาท พลิกฟื้นจากขาดทุน,08/11/2023,BBGI เปิดเผยผลประกอบการไตรมาส 4/2566 มีกำไรสุทธิ 2 ล้านบาท พลิกฟื้นจากขาดทุน 71 ล้านบาทในครึ่งปีแรก โดยได้รับอานิสงส์จากอัตรากำไรขั้นต้นที่ดีขึ้นในธุรกิจเอทานอลและไบโอดีเซล รวมถึงการใช้กำลังการผลิตเต็มที่และควบคุมต้นทุนได้มีประสิทธิภาพ,บวก,การพลิกกลับมามีกำไรใน Q4/2566 แสดงให้เห็นว่า BBGI ปรับกลยุทธ์ด้านต้นทุนและประสิทธิภาพการผลิตได้สำเร็จ ส่งสัญญาณเชิงบวกต่อกำไรในไตรมาสถัดไป แม้ตัวเลขกำไรยังไม่สูงมาก แต่ถือเป็นจุดเปลี่ยนสำคัญ (ที่มารวมจากข้อมูลไตรมาส 3/66)
S,S รุกธุรกิจ S Peple ตั้งเป้าปีนี้โตมากกว่า 20% จากรายได้ปี 67 พร้อมแผนขยายบริการครอบคลุมทั่วประเทศ,02/05/2568,"บมจ.สยามราชธานี (S) เปิดเผยว่าปี 2568 จะยึดธุรกิจ S Peple เป็นแกนหลัก เดินเกมขยายบริการทั่วประเทศ ตั้งเป้ารายได้เติบโตมากกว่า 20% จากปีก่อน (ปี 2567) โดยจะเพิ่มสัดส่วนลูกค้า Highmargin และผสานเทคโนโลยี AI ในการบริหารจัดการบุคลากร เพื่อรองรับความต้องการของภาคธุรกิจที่มองหาโซลูชัน Wrkfrce Slutins แบบครบวงจร พร้อมทั้งเสริม “Backlg” ให้สูงกว่า 2,200 ล้านบาทในปลายปีนี้",บวก,การรุกธุรกิจ S Peple ที่มีอัตรากำไรขั้นต้นสูง และแผนใช้ AI เพิ่มประสิทธิภาพ จะช่วยหนุนรายได้และอัตรากำไรสูงขึ้น สร้างความเชื่อมั่นต่อโมเมนตัมการเติบโตของ S (GapFcus)
S,S ผู้ถือหุ้นไฟเขียว อนุมัติจ่ายปันผล 0.18 บาท/หุ้น พร้อมลุยปี 2568 ตั้งเป้าโต 10–13% รุกขยายบริการทรานส์ฟอร์มดิจิทัล,25/04/2568,"ที่ประชุมสามัญผู้ถือหุ้น S ประจำปี 2568 มีมติอนุมัติจ่ายเงินปันผลปี 2567 ในอัตราหุ้นละ 0.18 บาท คิดเป็น 85% ของกำไรสุทธิ พร้อมตั้งเป้าทิศทางปี 2568 เติบโต 10–13% มุ่งขยายบริการ utsurcing Services และ Digital Transfrmatin Slutins และเสริมความแข็งแกร่งของ Backlg แตะ 2,226 ล้านบาทภายในปีนี้",บวก,"การจ่ายปันผลในอัตราสูงสะท้อนฐานกำไรที่แข็งแกร่ง สร้างแรงซื้อจากนักลงทุน และเป้าหมายเติบโตของ Backlg ช่วยหนุนมูลค่าหุ้นระยะกลางถึงยาว (Newswit, GapFcus)"
S,S เผยงบรวมปี 67 กำไรสุทธิ 153.39 ล้านบาท ลดจากปีก่อนเล็กน้อย แต่รายได้เติบโต,20/02/2568,"S รายงานงบการเงินรวมปี 2567 มีกำไรสุทธิ 153.39 ล้านบาท ลดลงจากปี 2566 ที่มีกำไร 183.50 ล้านบาท แม้รายได้รวมเติบโตจาก 2,382.47 ล้านบาทในปี 2566 เป็น 2,584.64 ล้านบาทในปี 2567 เนื่องจากอัตรากำไรขั้นต้นลดลงเป็น 16.10% (2566: 17.52%) จากต้นทุนคงที่และต้นทุนเพิ่มขึ้นชั่วคราว เช่น ค่าประกันรถในธุรกิจเช่ารถยนต์ขนส่งบุคลากร พร้อมเผยว่าได้เตรียมกลยุทธ์ใช้ RPA และ AI ผสานบริการเอาท์ซอร์ส เพื่อควบคุมต้นทุนในปี 2568",กลาง,รายได้ยังเติบโตต่อเนื่อง ทว่าอัตรากำไรขั้นต้นลดลงสะท้อนต้นทุนกดดัน จึงให้ผลกระทบเชิงกลาง นักลงทุนอาจจับตาการบริหารต้นทุนในไตรมาสถัดไป (Ai)
S,S เผยงบ Q2/67 กำไรสุทธิ 21.81 ล้านบาท ลดลงจากช่วงเดียวกันปีก่อนที่มีกำไร 60.38 ล้านบาท,09/08/2567,S รายงานผลประกอบการไตรมาส 2 ปี 2567 มีกำไรสุทธิ 21.81 ล้านบาท ลดลงอย่างมากเมื่อเทียบกับไตรมาส 2 ปี 2566 ที่มีกำไรสุทธิ 60.38 ล้านบาท เนื่องจากต้นทุนคงที่ในธุรกิจให้บริการเพิ่มขึ้น ประกอบกับอัตรากำไรขั้นต้นลดเหลือ 16.10% จาก 17.52% ในปีก่อน ทว่า S ยังกำหนดทิศทางใช้ RPA และยกระดับการบริการผ่านเทคโนโลยี ให้ลดต้นทุนและเพิ่มประสิทธิภาพในช่วงครึ่งปีหลัง,ลบ,กำไรสุทธิลดลงรุนแรงกว่าครึ่งจากปีก่อนสะท้อนต้นทุนที่ยังควบคุมไม่อยู่ ช่วงนั้นแรงขายกดดันราคาหุ้นลง จึงเป็นลบต่อ Sentiment นักลงทุน (Hn Insid)
S,S โชว์กำไร Q4/66 โตโดด 184 ล้านบาท ชูการเป็น Strategic Partner,27/02/2567,S รายงานไตรมาส 4 ปี 2566 มีกำไรสุทธิ 184 ล้านบาท เติบโตโดดเมื่อเทียบกับปีก่อน พร้อมย้ำกลยุทธ์การปรับบริการแบบครบวงจร เสริมฐานะเป็น Strategic Partner ด้าน utsurcing Services พร้อมนำเทคโนโลยีเข้าช่วยเพิ่มประสิทธิภาพองค์กรลูกค้า ช่วยหนุนกำไรและ Backlg เติบโตตามเป้า,บวก,"ผลประกอบการไตรมาส 4/66 ฟื้นกลับมีกำไรสูง การนำเทคโนโลยีเสริมประสิทธิภาพสร้างความเชื่อมั่นว่าธุรกิจหลักไล่กดต้นทุนสำเร็จ ส่งผลดีต่อแนวโน้มกำไรในปีต่อไป และหนุนราคาหุ้นในช่วงนั้น (Pracha Chat, Business Case)"
SPALI,"SPALI เปิดงบปี 67 กำไร 6,190 ล้าน โต 3% แจกปันผล 0.85 บ./หุ้น XD 07/05/68",26/02/2568,"SPALI รายงานกำไรสุทธิปี 2567 อยู่ที่ 6,190 ล้านบาท เติบโต 3% จากปี 2566 หลังยอดขายโครงการคอนโดมิเนียมและแนวราบฟื้นตัวดี พร้อมประกาศจ่ายเงินปันผล 0.85 บาทต่อหุ้น (XD 07/05/2568) และเตรียมเปิดอีก 36 โครงการใหม่ มูลค่ารวม 46,000 ล้านบาท โดยมี Backlg คงค้างกว่า 11,535 ล้านบาท",บวก,กำไรเติบโต แม้เพียงเล็กน้อย แต่ Backlg หนาแน่นและแผนเปิดโครงการใหม่จำนวนมากช่วยหนุนรายได้ระยะยาว สร้าง Sentiment เชิงบวกต่อ SPALI (eFinanceThai)
SPALI,"สรุป pp Day : SPALI แย้มยอดขาย Q1/68 สดใส จ่อเปิด 6 โครงการใหม่ มูลค่า 7,000 ลบ.",27/02/2568,"ในงาน pp Day SPALI เผยยอดขายไตรมาส 1/2568 ทำได้ดี กวาดยอดขายกว่า 7,000 ล้านบาท จากการเปิดโครงการแนวราบ 6 ตำแหน่ง มูลค่ารวม 7,000 ล้านบาท พร้อมตั้งเป้ายอดขายปี 2568 ที่ 32,000 ล้านบาท เตรียมเปิดใหม่ 36 โครงการ มูลค่ารวม 46,000 ล้านบาท และเตรียมใช้งบกว่า 8,000 ล้านบาทเพื่อซื้อที่ดินรองรับปีหน้า มอง ดอกเบี้ยลดหนุนลูกค้ากู้ซื้อบ้านได้ง่ายขึ้น",บวก,ยอดขาย Q1/68 โดดเด่นและการเปิดโครงการใหม่จำนวนมากจะช่วยหนุนรายได้และกำไรในปี 2568 ทำให้ภาพเชิงบวกต่อ SPALI ชัดเจน (eFinanceThai)
SPALI,SPALI เดินหน้ากิจกรรม “น้องสุขดี พี่สุขใจ” ตรวจสุขภาพฉีดวัคซีนฟรีอุดร,21/05/2568,SPALI จัดกิจกรรม “น้องสุขดี พี่สุขใจ” จังหวัดอุดรธานี ให้บริการตรวจสุขภาพและฉีดวัคซีนฟรีแก่ประชาชนในชุมชนรอบโครงการของบริษัท หวังตอบแทนสังคมและส่งเสริมภาพลักษณ์ความรับผิดชอบขององค์กร (CSR) หนุนแบรนด์ SPALI ในกลุ่มลูกค้าต่างจังหวัด,กลาง,แนวทาง CSR ช่วยเสริมภาพลักษณ์แบรนด์และสร้างความเชื่อมั่นระยะยาว แต่ผลกระทบต่อกำไรเฉพาะช่วงสั้นจำกัด จึงประเมินเป็นกลาง (SETTRADE)
SPALI,SPALI ผนึกพันธมิตรช่วยเหลือนิติบุคคลอาคารชุด ให้สิทธิ์ซื้อวัสดุก่อสร้างลดสูงสุด 40% สนับสนุนซ่อมแซมคอนโดที่เสียหายจากแผ่นดินไหว,02/04/2568,SPALI ร่วมมือกับซัพพลายเออร์วัสดุก่อสร้างอุดรธานี จัดแคมเปญ “ช่วยเหลือนิติบุคคลอาคารชุด” มอบสิทธิ์ซื้อวัสดุก่อสร้างในราคาลดสูงสุด 40% ให้กับลูกบ้านที่อยู่อาศัยในคอนโด SPALI ที่ได้รับผลกระทบจากเหตุแผ่นดินไหว ช่วยลดภาระค่าใช้จ่ายและสร้างภาพลักษณ์เชิงบวกต่อโครงการคอนโดของ SPALI,กลาง,แม้เป็นข่าวดีเชิง CSR ช่วยเสริมภาพลักษณ์และความเชื่อมั่นของลูกค้าเดิม แต่ไม่ส่งผลต่อตัวเลขกำไรหรือยอดขายโดยตรงในเชิงเด่นชัด จึงให้ “กลาง” (GapFcus)
SPALI,SPALI ไล่เช็ค 90 คอนโดทั่วประเทศพบเสียหายบางส่วน ส่งผู้เชี่ยวชาญตรวจและยืนยันซ่อมแซมได้,31/03/2568,SPALI ส่งทีมวิศวกรและผู้เชี่ยวชาญลงพื้นที่ตรวจสอบความเสียหายของโครงสร้างอาคารชุดทั้งสิ้น 90 โครงการทั่วประเทศ หลังเหตุแผ่นดินไหวขนาดเล็ก เพื่อประเมินสภาพและวางแผนซ่อมแซมให้ปลอดภัย โดยยืนยันว่าสภาพโดยรวมยังสามารถซ่อมแซมและอยู่อาศัยต่อได้ ซึ่งช่วยสร้างความเชื่อมั่นให้กับลูกบ้านและกระชับความสัมพันธ์กับลูกค้าโครงการคอนโดของ SPALI,กลาง,การดูแลหลังเกิดเหตุสร้างความรับผิดชอบและสร้างความเชื่อมั่น แต่ไม่ส่งผลกระทบเชิงตัวเลขทางการเงินทันที ดังนั้นจึงประเมิน “กลาง” (GapFcus)
SPI,SPI ปันผลเป็นหุ้น 2:1 และเงินสด 0.20 บ./หุ้น XD 08/05/68,03/03/2025,"บมจ.สหพัฒนาอินเตอร์โฮลดิ้ง (SPI) แจ้งที่ประชุมคณะกรรมการเมื่อ 28 ก.พ. 2568 อนุมัติจ่ายปันผลให้ผู้ถือหุ้นเป็นหุ้นปันผลในอัตราส่วน 2:1 และเงินสด 0.20 บาทต่อหุ้น (XD 08/05/2568, จ่ายเงินปันผล 27/05/2568) หลังทำกำไรปี 2567 ที่ 3,321 ล้านบาท เพิ่มขึ้นจากปี 2566 ที่ 3,094 ล้านบาท (สำนักข่าวอินโฟเควสท์, GapFcus)",บวก,"ปันผลทั้งหุ้นและเงินสดในอัตราสูงสะท้อนผลประกอบการที่แข็งแกร่ง และช่วยสร้างแรงซื้อจากนักลงทุนที่แสวงหา Yield สูง ส่งผลบวกต่อตลาดหุ้น SPI (สำนักข่าวอินโฟเควสท์, GapFcus)"
SPI,"SPI เผยงบรวมปี 67 กำไรสุทธิ 3,321 ล้านบาท โตจากปีก่อน",01/03/2025,"SPI รายงานงบการเงินรวมปี 2567 มีกำไรสุทธิ 3,321 ล้านบาท เพิ่มขึ้นจากปี 2566 ที่มีกำไร 3,094 ล้านบาท หลังรายได้จากธุรกิจปล่อยสินเชื่อและรายได้ที่ไม่ใช่ดอกเบี้ยฟื้นตัว รวมถึงต้นทุนทางการเงินทรงตัว ด้านบริษัทย่อยในกลุ่มโซลาร์เซลล์ร่วมกับ RATCH หนุนผลงาน ESG เพิ่มเติม (GapFcus, GapFcus)",บวก,"กำไรสุทธิปี 2567 ที่เติบโตต่อเนื่อง นำมาสู่การจ่ายปันผลสูง และฐานะการเงินแข็งแกร่ง นักลงทุนมองว่าสัญญาณนี้ยังหนุนราคาหุ้น SPI ในระยะกลางถึงยาว (GapFcus, GapFcus)"
SPI,"SPI กำไรไตรมาส 1/68 พุ่ง 140%! ปันผลอสังหาฯ หนุน, ขยายลงทุนเดินหน้า",15/05/2025,"บมจ.สหพัฒนาอินเตอร์โฮลดิ้ง (SPI) โชว์ผลงานไตรมาส 1 ปี 2568 กำไรสุทธิ 781 ล้านบาท เพิ่มขึ้น 140.2% จากช่วงเดียวกันของปีก่อน (ไตรมาส 1/2567) เนื่องจากรับรู้รายได้เต็มไตรมาสจากอสังหาริมทรัพย์ที่ขายหมด และต้นทุนทางการเงินทรงตัว ด้านบอร์ดอนุมัติจ่ายปันผลระหว่างกาล 0.20 บาทต่อหุ้น (XD 08/05/2568) พร้อมเตรียมขยายพอร์ตลงทุนโซลูชั่นที่เกี่ยวข้องกับเทคโนโลยีอสังหาฯ เพิ่มเติมเพื่อหนุนรายได้ระยะยาว (Ai, สำนักข่าวอินโฟเควสท์)",บวก,"กำไร Q1/68 พุ่งขึ้นมากกว่าเท่าตัว ชี้ว่าสัญญาณ Recvery ของธุรกิจอสังหาฯ และต้นทุนทางการเงินที่ควบคุมได้ดี พร้อมปันผลสม่ำเสมอ ส่งผลบวกต่อมุมมองและราคา SPI (Ai, สำนักข่าวอินโฟเควสท์)"
SPI,SPI สรุปผลการดำเนินงานไตรมาส 1/68 (F45) (สอบทานแล้ว),15/05/2025,SPI เปิดเผยแบบรายงานสรุปผลการดำเนินงานของผู้สอบบัญชีสำหรับไตรมาส 1 ปี 2568 (สิ้นสุด 31/03/2568) ว่ามีรายได้รวมเพิ่มขึ้นและกำไรหลักจากการดำเนินงานพุ่งขึ้นกว่า 140% สอดคล้องกับรายงานของฝ่ายจัดการที่ชี้ว่าผลประกอบการปีนี้ฟื้นตัวดีจากฐานเศรษฐกิจที่ขยายตัวและดีมานด์สินเชื่อที่เติบโตขึ้นอย่างต่อเนื่อง (SETTRADE),บวก,รายงานบทวิเคราะห์อิสระยืนยันตัวเลขกำไร Q1/68 ที่ทรงตัวดี ส่งสัญญาณถึงฐานะการเงินที่แข็งแกร่งและการเติบโตที่ยั่งยืนของ SPI ทำให้เป็นบวกต่อราคาในระยะสั้นและกลาง (SETTRADE)
SPI,หุ้นเพิ่มทุนของ SPI เริ่มซื้อขายวันที่ 29 พฤษภาคม 2568,23/05/2025,"ตลาดหลักทรัพย์แห่งประเทศไทย (SET) แจ้งรับหลักทรัพย์เพิ่มทุนของ บมจ.สหพัฒนาอินเตอร์โฮลดิ้ง (SPI) ให้เริ่มซื้อขายหุ้นเพิ่มทุน (New Shares) ในวันที่ 29 พฤษภาคม 2568 หลังเสนอขายผู้ถือหุ้นเดิม (RIGH) ตามสิทธิอนุพันธ์ (Rights ffering) จำนวน 285,961,826 หุ้น เพิ่มทุนจากเดิม 571,933,066 หุ้น เป็น 857,894,892 หุ้น เพื่อนำเงินทุนไปขยายโครงการอสังหาฯ และลงทุนในพอร์ตเทคโนโลยีใหม่ (SET Thailand, GapFcus)",กลาง,"หุ้นเพิ่มทุนช่วยระดมทุนเพื่อขยายธุรกิจและโครงการใหม่ แต่ dilutin effect ชั่วคราวอาจกดดันราคา ทำให้มีผลกระทบ ‘กลาง’ จนกว่าผลิตภัณฑ์ใหม่จะเริ่มสร้างรายได้ (SET Thailand, GapFcus)"
SSP,SSP รายงานกำไรไตรมาส 1/68 โต 6% แตะ 240.60 ล้านบาท หลังรายได้วินด์ฟาร์มพุ่ง,14/05/2025,SSP รายงานผลประกอบการไตรมาส 1 ปี 2568 (สิ้นสุด 31/03/2568) มีกำไรสุทธิ 240.60 ล้านบาท เติบโต 6.3% จากไตรมาส 1/2567 ที่มีกำไร 226.05 ล้านบาท โดยมีรายได้รวม 934.0 ล้านบาท เพิ่มขึ้นจากโครงการโรงไฟฟ้าพลังงานลม และ EBITDA อยู่ที่ 690.9 ล้านบาท แม้กำไรหลัก (CP) จะลดลง 10.4% มาอยู่ที่ 226.9 ล้านบาท เนื่องจากต้นทุนดำเนินงานและต้นทุนทางการเงินที่สูงขึ้นจากโครงการ Ramping Phase,บวก,กำไรสุทธิและรายได้เติบโตจากโครงการใหม่ด้านพลังงานลม อย่างไรก็ตาม ผลกำไรหลักลดลงชี้ต้นทุนกดดันแต่ไม่หนักหนา จึงประเมินเชิงบวกต่อความต่อเนื่องของแนวทางเติบโต
SSP,ผู้ถือหุ้น SSP ผ่านฉลุย! จ่ายปันผล 0.20 บาท/หุ้น,07/05/2025,"ที่ประชุมสามัญผู้ถือหุ้น SSP ประจำปี 2568 มีมติอนุมัติจ่ายเงินปันผลจากผลดำเนินงานปี 2567 เป็นเงินสด 0.20 บาทต่อหุ้น (Recrd Date 13/05/2568, จ่ายเงิน 21/05/2568) สะท้อนฐานะการเงินและกระแสเงินสดที่แข็งแกร่งในช่วงที่ผ่านมา แม้ต้องลงทุนต่อเนื่องในโรงไฟฟ้าใหม่หลายโครงการ",บวก,"การจ่ายปันผลในอัตรา 0.20 บาทต่อหุ้น สะท้อนว่าบริษัทดำเนินธุรกิจมีกระแสเงินสดและกำไรเพียงพอ สร้างแรงจูงใจให้นักลงทุนถือหุ้นต่อเนื่อง ส่งผลบวกต่อราคา SSP (investr.sermsang.cm, Thunhn)"
SSP,"SSP ทุ่มงบลงทุนโรงไฟฟ้า 25,000 ลบ. CD ต่อเนื่องรวม 410 MW ภายในปี 73",28/05/2025,"ทันหุ้น รายงานว่า SSP เตรียมทุ่มงบลงทุนกว่า 25,000 ล้านบาท ในการก่อสร้างและขยายโรงไฟฟ้าพลังงานหมุนเวียน (Wind & Slar) ให้ CD (Cmmercial peratin Date) ต่อเนื่องจนรวมกำลังการผลิตที่ 410 MW ภายในปี 2573 เพื่อรองรับนโยบาย BCG และลดการพึ่งพาพลังงานฟอสซิล รวมทั้งตั้งเป้ารายได้ปี 2568 เติบโตอย่างน้อย 20% จากปีก่อน",บวก,กลยุทธ์ลงทุนขนาดใหญ่ในพลังงานหมุนเวียนสอดคล้องเทรนด์พลังงานสะอาด และช่วยเพิ่มกำลังการผลิตที่สร้างรายได้ระยะยาว จึงเป็นบวกต่อมูลค่าหุ้น SSP (SETTRADE)
SSP,SSP เคาะปันผล 0.20 บาท/หุ้น จ่อ CD โซลาร์ฟาร์ม LE 2 ประเทศญี่ปุ่น 16.4 MW,28/04/2025,SSP แจ้งผ่าน Ai ว่า ที่ประชุมผู้ถือหุ้นอนุมัติจ่ายเงินปันผล 0.20 บาทต่อหุ้น (จ่าย 21/05/2568) พร้อมประกาศว่าโครงการโซลาร์ฟาร์ม ‘LE 2’ ในญี่ปุ่น มีกำลังผลิต 16.4 MW จะเริ่ม CD ในไตรมาส 4/2568 คาดช่วยหนุนรายได้ปี 2568 โตเท่าตัวจากโครงการในมือที่กำลัง CD,บวก,ข้อมูล CD โครงการในต่างประเทศเพิ่มฐานรายได้ระยะยาว และปันผลสม่ำเสมอช่วยเสริมภาพลักษณ์หุ้นที่ให้ Yield สูง จึงประเมินว่าเป็นบวก (Ai)
SSP,กำหนดการใช้สิทธิครั้งสุดท้ายและขอพักการขายหลักทรัพย์ SSPW2,19/03/2025,SET แจ้งกำหนดการใช้สิทธิของใบสำคัญแสดงสิทธิในการจองซื้อหุ้นสามัญ (SSPW2) ให้หมดเขตในวันที่ 21/05/2568 พร้อมประกาศพักการขายหลักทรัพย์ตั้งแต่ 30/04/2568 ถึง 21/05/2568 เพื่อเตรียมแปลงสภาพเป็นหุ้นสามัญหรือยกเลิกสิทธิ,กลาง,ใบสำคัญแสดงสิทธิ ATM Rights ffering ส่งผลให้เกิดโอกาส dilutin ก็น่าจับตาว่าจะมีหุ้นใหม่เข้าตลาด ส่วนผู้ถือสิทธิต้องใช้สิทธิก่อนหมดเขต จึงให้ผลกระทบ ‘กลาง’ ต่อราคาหุ้น SSP จนกว่าโครงสร้างทุนจะชัดเจน (SET Thailand)
